#  Seattle, Washington Average Temperature
# Units: Degrees Fahrenheit
Date,Value
202101,43.3
202102,40.9
202103,45.1
202104,52.5
202105,56.4
202106,66.1
202107,68
202108,67.5
202109,61.9
202110,51.8
202111,47.9
202112,38
202201,41
202202,42.1
202203,46.9
202204,47.1
202205,52.6
202206,61.1
202207,68.8
202208,70
202209,64.8
202210,57.6
202211,41.9
202212,38.8
