#  Los Angeles, California Average Temperature
# Units: Degrees Fahrenheit
Date,Value
202101,57.7
202102,57.8
202103,56.6
202104,60.9
202105,62.3
202106,65.6
202107,68.8
202108,69.7
202109,68.4
202110,65.7
202111,63.7
202112,55.3
202201,59.3
202202,59.9
202203,60.9
202204,63.1
202205,63.7
202206,68
202207,69.6
202208,72.2
202209,76
202210,68.5
202211,60.1
202212,56.8
