#  New York (Central Park), New York Average Temperature
# Units: Degrees Fahrenheit
Date,Value
202101,34.8
202102,34.2
202103,45.9
202104,54.6
202105,62.9
202106,74.3
202107,76
202108,77.6
202109,70.3
202110,62
202111,46.3
202112,43.8
202201,30.4
202202,37.4
202203,45.3
202204,52.8
202205,64
202206,71.4
202207,79.6
202208,79.3
202209,69.5
202210,56.9
202211,50.9
202212,38.5
